IcaoCode,IataCode,Model,ModelUrl,ModelTitle,ModelImageUrl
EC35,N/A,Eurocopter EC135,https://en.wikipedia.org/wiki/Eurocopter_EC135,Eurocopter EC135,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/EC-135_-_RIAT_2011_%286199185182%29.jpg/256px-EC-135_-_RIAT_2011_%286199185182%29.jpg
EC45,N/A,Eurocopter EC145,https://en.wikipedia.org/wiki/Eurocopter_EC145,Eurocopter EC145,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Stanford_EC145.jpg/256px-Stanford_EC145.jpg
P212,N/A,Tecnam P2012 Traveller,https://en.wikipedia.org/wiki/Tecnam_P2012_Traveller,Tecnam P2012 Traveller,
ECHO,N/A,Tecnam P92 Echo / P92 Eaglet / P92 SeaSky,https://en.wikipedia.org/wiki/Tecnam_P92,Tecnam P92,https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/TecnamP92TO.jpg/256px-TecnamP92TO.jpg
EV97,N/A,EV-97 EuroStar / EV-97 Harmony,https://en.wikipedia.org/wiki/Evektor_EuroStar,Evektor SportStar,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/24-7324_Evektor-Aerotechnik_EV-97_SportStar_Max_%286931052501%29.jpg/256px-24-7324_Evektor-Aerotechnik_EV-97_SportStar_Max_%286931052501%29.jpg
EVSS,N/A,Evektor SportStar,https://en.wikipedia.org/wiki/Evektor_SportStar,Evektor SportStar,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/24-7324_Evektor-Aerotechnik_EV-97_SportStar_Max_%286931052501%29.jpg/256px-24-7324_Evektor-Aerotechnik_EV-97_SportStar_Max_%286931052501%29.jpg
EXPL,MD9,MD Helicopters MD900 Explorer,https://en.wikipedia.org/wiki/MD_Helicopters_MD_Explorer,MD Helicopters MD Explorer,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/%28cropped%29_London_Air_Ambulance_G-EHMS.jpg/256px-%28cropped%29_London_Air_Ambulance_G-EHMS.jpg
F100,100,Fokker 100,https://en.wikipedia.org/wiki/Fokker_100,Fokker 100,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Alliance_Airlines_Fokker_100_Bundaberg_Vabre-2.jpg/256px-Alliance_Airlines_Fokker_100_Bundaberg_Vabre-2.jpg
F27,F27,Fokker F27 Friendship,https://en.wikipedia.org/wiki/Fokker_F27_Friendship,Fokker F27 Friendship,https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Icelandair_Fokker_F-27-200_Friendship_Wallner.jpg/256px-Icelandair_Fokker_F-27-200_Friendship_Wallner.jpg
F28,F21,Fokker F28 Fellowship,https://en.wikipedia.org/wiki/Fokker_F28_Fellowship,Fokker F28 Fellowship,https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Piedmont_F-28-1000.jpg/256px-Piedmont_F-28-1000.jpg
F2TH,D20,Dassault Falcon 2000,https://en.wikipedia.org/wiki/Dassault_Falcon_2000,Dassault Falcon 2000,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/20130519190713%212010-07-15_Falcon2000_private_N671WM_EDDF_01_%28cropped%29.jpg/256px-20130519190713%212010-07-15_Falcon2000_private_N671WM_EDDF_01_%28cropped%29.jpg
F406,CNT,Reims-Cessna F406 Caravan II,https://en.wikipedia.org/wiki/Reims-Cessna_F406_Caravan_II,Reims-Cessna F406 Caravan II,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Reims_F406_Caravan_II%2C_France_-_Army_AN0632367.jpg/256px-Reims_F406_Caravan_II%2C_France_-_Army_AN0632367.jpg
F50,F50,Fokker 50,https://en.wikipedia.org/wiki/Fokker_50,Fokker 50,https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/CityJet_Fokker_50_OO-VLN_LUX_2010-2-27.png/256px-CityJet_Fokker_50_OO-VLN_LUX_2010-2-27.png
F70,F70,Fokker 70,https://en.wikipedia.org/wiki/Fokker_70,Fokker 70,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/PH-JCT_Fokker_70_KLM_cityhopper.JPG/256px-PH-JCT_Fokker_70_KLM_cityhopper.JPG
F900,DF9,Dassault Falcon 900,https://en.wikipedia.org/wiki/Dassault_Falcon_900,Dassault Falcon 900,https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Spanish_Air_Force_Dassault_Falcon_900B.jpg/256px-Spanish_Air_Force_Dassault_Falcon_900B.jpg
FA50,DF3,Dassault Falcon 50,https://en.wikipedia.org/wiki/Dassault_Falcon_50,Dassault Falcon 50,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Armee_de_l%27Air_-_Dassault_Falcon_50.jpg/256px-Armee_de_l%27Air_-_Dassault_Falcon_50.jpg
